symbol,fiscalDateEnding,reportType,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
AAPL,2024-09-30,annual,USD,118254000000,1900000000,None,21572000000,17921000000,11445000000,9447000000,5144000000,1046000000,93736000000,2935000000,-121983000000,7920000000,94949000000,94949000000,None,15234000000,None,None,None,0,None,-94949000000,None,None,None,93736000000
AAPL,2023-09-30,annual,USD,110543000000,5703000000,None,1142000000,7719000000,11519000000,10959000000,417000000,1618000000,96995000000,3705000000,-108488000000,-7956000000,77550000000,77550000000,None,15025000000,None,None,None,5228000000,None,-77550000000,None,None,None,96995000000
AAPL,2022-09-30,annual,USD,122151000000,4665000000,None,15558000000,14358000000,11104000000,10708000000,9343000000,-1484000000,99803000000,-22354000000,-110749000000,7910000000,89402000000,89402000000,None,14841000000,None,None,None,5465000000,None,-89402000000,None,None,None,99803000000
AAPL,2021-09-30,annual,USD,104038000000,4087000000,None,19801000000,24712000000,11284000000,11085000000,14028000000,2642000000,94680000000,-14545000000,-93353000000,2044000000,85971000000,85971000000,None,14467000000,None,None,1105000000,20393000000,None,-84866000000,None,-3860000000,None,94680000000
AAPL,2020-09-30,annual,USD,80674000000,4502000000,None,6935000000,1245000000,11056000000,7309000000,-8470000000,127000000,57411000000,-4289000000,-86820000000,-1926000000,72358000000,72358000000,None,14081000000,None,None,880000000,16091000000,None,-71478000000,None,-10435000000,None,57411000000
AAPL,2019-09-30,annual,USD,69391000000,3423000000,None,-7248000000,-3760000000,12547000000,10495000000,-3176000000,289000000,55256000000,45896000000,-90976000000,-11954000000,66897000000,66897000000,None,14119000000,None,None,781000000,6963000000,None,-66116000000,None,24311000000,None,55256000000
AAPL,2018-09-30,annual,USD,77434000000,3022000000,None,47665000000,12927000000,10903000000,13313000000,13332000000,-828000000,59531000000,16066000000,-87876000000,-74000000,72738000000,72738000000,None,13712000000,None,None,669000000,6969000000,None,-72069000000,None,5624000000,None,59531000000
AAPL,2017-09-30,annual,USD,64225000000,2092000000,None,8838000000,14388000000,10157000000,12795000000,6347000000,2723000000,48351000000,-46446000000,-17974000000,7704000000,32900000000,32900000000,None,12769000000,12563000000,None,555000000,28662000000,None,-32345000000,None,-195000000,None,48351000000
AAPL,2016-09-30,annual,USD,66231000000,1316000000,None,-1867000000,-2351000000,10505000000,13548000000,-1044000000,-217000000,45687000000,-45977000000,-20890000000,-794000000,29722000000,29722000000,None,12150000000,11965000000,None,495000000,24954000000,None,-29227000000,None,-636000000,None,45687000000
AAPL,2015-09-30,annual,USD,81266000000,514000000,None,15188000000,-194000000,9200000000,11488000000,-611000000,238000000,53394000000,-56274000000,-17716000000,4382000000,35253000000,35253000000,None,11561000000,None,None,543000000,27114000000,None,-34710000000,None,7276000000,None,53394000000
