symbol,fiscalDateEnding,reportType,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
AAPL,2024-09-30,annual,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,93736000000
AAPL,2023-09-30,annual,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,96995000000
AAPL,2022-09-30,annual,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,99803000000
AAPL,2021-09-30,annual,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,94680000000
AAPL,2020-09-30,annual,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,57411000000
AAPL,2019-09-30,annual,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,55256000000
AAPL,2018-09-30,annual,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,59531000000
AAPL,2017-09-30,annual,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,48351000000
AAPL,2016-09-30,annual,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,45687000000
AAPL,2015-09-30,annual,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,53394000000
AAPL,2014-09-30,annual,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,39510000000
AAPL,2013-09-30,annual,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,37037000000
AAPL,2012-09-30,annual,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,41733000000
AAPL,2011-09-30,annual,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,25922000000
AAPL,2010-09-30,annual,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,14013000000
AAPL,2009-09-30,annual,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,8235000000
AAPL,2024-12-31,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,36330000000
AAPL,2024-09-30,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,14736000000
AAPL,2024-06-30,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,21448000000
AAPL,2024-03-31,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,23636000000
AAPL,2023-12-31,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,33916000000
AAPL,2023-09-30,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,22956000000
AAPL,2023-06-30,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,19881000000
AAPL,2023-03-31,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,24160000000
AAPL,2022-12-31,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,29998000000
AAPL,2022-09-30,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,20721000000
AAPL,2022-06-30,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,19442000000
AAPL,2022-03-31,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,25010000000
AAPL,2021-12-31,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,34630000000
AAPL,2021-09-30,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,20551000000
AAPL,2021-06-30,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,21744000000
AAPL,2021-03-31,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,23630000000
AAPL,2020-12-31,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,28755000000
AAPL,2020-09-30,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,12673000000
AAPL,2020-06-30,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,11253000000
AAPL,2020-03-31,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,11249000000
AAPL,2019-12-31,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,22236000000
AAPL,2019-09-30,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,13686000000
AAPL,2019-06-30,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,10044000000
AAPL,2019-03-31,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,11561000000
AAPL,2018-12-31,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,19965000000
AAPL,2018-09-30,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,14125000000
AAPL,2018-06-30,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,11519000000
AAPL,2018-03-31,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,13822000000
AAPL,2017-12-31,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,20065000000
AAPL,2017-09-30,quarterly,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,10714000000
